peak bin0 err0 bin1 err1 bin2 err2 bin3 err3 bin4 err4 bin5 err5
6257 5 5 4 5 13 7 13 7 8 8 -3 5
5902 15 17 42 11 28 10 35 9 38 10 7 7
5677 12 9 9 9 13 10 12 10 22 12 13 9
5319 35 16 48 16 94 15 70 14 83 16 61 18
4875 18 18 36 18 21 18 57 19 71 20 45 14
4744 10 20 6 4 2 2 13 8 11 5 0 0
4691 0 0 20 14 21 17 21 12 48 19 21 17
4425 12 80 33 24 4 21 40 23 14 22 -2 15
4143 12 66 5 17 33 18 26 21 5 21 -4 13
3938 18 59 36 18 13 19 28 20 43 16 8 12
3730 21 32 70 30 74 21 58 18 48 18 13 14
3517 60 40 11 18 37 17 19 18 10 17 -5 12
3426 67 33 74 20 60 21 69 18 37 22 19 15
3162 21 13 40 19 28 10 18 11 24 10 16 6
3135 26 16 6 3 37 14 21 13 41 16 37 13
3036 62 23 45 12 43 11 70 13 62 13 29 11
3000 14 5 39 11 56 14 66 12 57 12 18 7
2938 216 31 223 23 261 25 383 30 392 29 173 20
2699 52 27 75 27 51 23 100 29 101 30 19 18
2517 117 26 155 22 279 31 244 26 266 32 140 23
2311 752 47 728 48 902 47 1041 43 1256 51 612 36
2127 63 31 31 28 6 28 125 31 23 30 32 21
1919 123 26 67 24 131 26 87 27 119 28 75 20
1721 62 22 66 21 75 22 102 24 89 24 30 17
1672 219 26 277 25 296 26 394 30 421 31 216 23
1607 110 22 146 21 211 26 212 25 233 26 121 20
1554 2402 58 2570 59 2881 59 3431 66 3809 71 1836 50
1325 262 35 227 38 291 40 329 40 334 43 183 23
1153 40 26 74 28 87 29 47 30 59 31 65 21
1114 103 26 98 27 143 23 166 25 226 33 113 20
1010 68 29 70 25 121 27 90 26 110 30 457 50
974 522 44 650 42 687 39 922 47 840 47 421 30
909 4 15 58 27 39 32 19 13 80 30 0 1
890 5 22 28 13 10 8 44 30 39 15 27 30
